Taxon,c11,c13,c19,c2,c20,c21,c24,c25,c26,c27,c28,c29,c3,c30,c31,c32,c33,c34,c36,c4,c40,c47,c49,c5,c50,c6,c7,c8,c9,E1,E3,E4,E5,E6,H1,H3,H4,H5,H7,Kp1,Kp2,M9,S14,S15,S21,S22,S23,S25,S26,S29,S32,S34,S47,S48,S79,ST1,ST2,ST22,ST4,ST6,ST64,ST7,ST8
Erwiniaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36811081638668e-05,0.0,0.0,0.0,0.0,0.0
Pseudomonadaceae,0.280149676480524,0.406759689922481,0.0001126278325899,0.0,0.000218710700421,0.0,3.9397222495814e-05,0.0267764013316759,0.0,0.0,0.0014360938247965,0.0550027262813522,0.747679920529109,0.0861042375502629,0.0,0.0,0.0,0.0003137550200803,0.0008012488430243,0.0,0.001345158569116,0.896938407305632,0.0001212023270846,0.0660214168039539,0.28627752478956,0.0003361219002091,0.000273190869354,0.0004746378306987,0.000104791595714,0.0581157717263577,0.0264285308971231,0.0077355382578082,0.0039709643089727,0,0.378463849468316,0.567599548200871,0.999868207178316,0.611923701992986,0.0837054823724782,0.0004438132433871,0.0001277955271565,0.561011082882286,0.384718547912992,0.52469386100073,0.99953869450545,0.0332985683132644,0.0449255310490763,0.0116083866128514,0.0158628496529536,0.0286047960137029,0.999740431662146,0.0,0.000101617754654,0.0795397419426912,0.0151042569167677,0.0296188360215829,0.0022442786698697,3.68405540819334e-05,0.0003311373697235,0.193317238545305,0.0002527167045741,0.0026407227241139,0.0026207862358707
Bacillaceae,0.0,0.379286821705426,0.0,0.788810924469015,0.0,0.0004401098514189,0.0005712597261893,0.0,0.0001198638346837,0.234584373749118,0.124322487993947,0.0,0.0,0.0568357562635323,0.0005431525322145,0.0001200864622528,0.0010228703315149,0.995419176706827,0.679997789658364,0.0263350921609919,0.0177150543763252,0.0,0.785754686489981,0.0087726523887973,0.0,0.0004108156558111,0.559191355026712,0.0,0.534437138141521,0.0017881775915802,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34861845972957e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.67144191840548e-05,0.0,0.0,0.0,0.0,0.0,4.32812995931558e-05,0.118693893033253,0.0,0.0,6.42079309636326e-05,0.0,0.0,0.0
Enterobacteriaceae,0.71914871501702,0.176103359173127,0.946659458485381,0.211118198785645,0.829788397397343,0.842159002887121,0.0027972027972028,0.949762098675468,0.0023733039267392,0.689476392886415,0.864821878040118,0.0084855507088331,0.252110945546755,0.718469687596659,0.616908900209769,0.831638779921543,0.0002622744439781,0.0001045850066934,0.319200961498612,0.754063838345598,0.583502428125214,0.103061592694368,0.0820943762120233,0.325288303130148,0.590789914641118,0.64154466686585,0.0282904322486644,0.285628791943539,0.0322758114799193,0.93613651458642,0.966889859842252,0.988856949064953,0.994583604682561,1,0.620370004348342,0.432400451799129,0.0001317928216843,0.387712770507228,0.915441754000135,0.997869696431742,0.998722044728434,0.438804816083066,0.614620076425632,0.475184494363799,0.0001203405637955,0.956063335545653,0.955074468950924,0.988177304711219,0.983764782984301,0.951292432264092,0.000220633087176,0.999968177189409,0.999776440939761,0.920460258057309,0.984895743083232,0.970251320079638,0.0859779997471235,0.999705275567345,0.648645822440657,0.0619606533799055,0.879345824759017,0.84412786657401,0.62036610983295
Enterococcaceae,9.09492503183224e-05,0.0378087855297158,0.0531828625489931,0.0,0.169992891902236,0.15740088726146,0.996493647197872,0.0233471930501379,0.995205446612648,0.0,0.0007875353232755,0.936358369683751,0.0,0.040422981750696,0.381986065328139,0.168241133616204,0.997560847671003,0.0,0.0,0.21960106949341,0.39723216524931,0.0,0.117283451842275,0.5999176276771,0.121493484731997,0.357652375261428,0.41224502185527,0.713731478806389,0.433129862984989,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08223177357878e-05,5.01419015814756e-05,0.0,0.0,5.3577168982391e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alcaligenaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001294529414585,0.0759392333644664,0.0086320048178631,0.0,5.22834810341673e-05,0.0981673368388494,0.0005618819298771,0.0,0.0010490977759127,0.0,0.0,0.0,0.0,0.0,0.0147058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brevibacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034303882195448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Staphylococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006712374742292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006275100401606,0.0,0.0,0.0,0.0,0.0,0.0,0.0013799357344215,0.0,0.0,0.0,0.0,0.0039595360956419,0.0066816092606253,0.0033590646296954,0.0014454310084661,0,0.0011661461833419,0.0,0.0,0.0002993755880591,0.0008527636273871,0.0016864903248712,0.0011501597444089,0.0001841010346478,0.0005878894767783,6.08223177357878e-05,0.0002607378882236,0.0106380961410828,0.0,0.0001607315069471,0.0003276832792159,0.0199314855185301,0.0,0.0,0.0001219413055849,0.0,0.0,8.65625991863116e-05,0.793083828549753,0.0001842027704096,0.35102304018962,0.744580850626669,0.0850752734755767,0.153231410701876,0.377013103931179
Rhizobiaceae,0.0001429202505002,4.1343669250646e-05,4.50511330359959e-05,7.0876745339854e-05,0.0,0.0,5.90958337437211e-05,0.0001143069427179,0.0,0.0,0.0,0.0001192748091603,0.0,0.0,0.0,0.0,0.0001049097775912,0.0001045850066934,0.0,0.0,0.0001367957866897,0.0,4.04007756948933e-05,0.0,0.0,5.60203167015238e-05,0.0,0.0001650914193734,0.0,0.0,0.0,4.8448047543684e-05,0.0,0,0.0,0.0,0.0,6.41519117269695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46840835294468e-05,0.0,3.89352506781223e-05,3.18228105906314e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.70495171563592e-05,0.0,0.0,0.0
Xanthobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8397893344885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
