Taxon,c11,c13,c19,c2,c20,c21,c24,c25,c26,c27,c28,c29,c3,c30,c31,c32,c33,c34,c36,c4,c40,c47,c49,c5,c50,c6,c7,c8,c9,E1,E3,E4,E5,E6,H1,H3,H4,H5,H7,Kp1,Kp2,M9,S14,S15,S21,S22,S23,S25,S26,S29,S32,S34,S47,S48,S79,ST1,ST2,ST22,ST4,ST6,ST64,ST7,ST8
Erwiniaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36811081638668e-05,0,0,0,0,0
Pseudomonadaceae,0.280149676480524,0.406759689922481,0.00011262783258999,0,0.000218710700421018,0,3.9397222495814e-05,0.0267764013316759,0,0,0.00143609382479655,0.0550027262813522,0.747679920529109,0.0861042375502629,0,0,0,0.000313755020080321,0.0008012488430243,0,0.00134515856911607,0.896938407305632,0.00012120232708468,0.0660214168039539,0.28627752478956,0.000336121900209143,0.000273190869354055,0.000474637830698749,0.000104791595714024,0.0581157717263577,0.0264285308971231,0.00773553825780821,0.00397096430897279,0,0.378463849468316,0.567599548200871,0.999868207178316,0.611923701992986,0.0837054823724782,0.000443813243387183,0.00012779552715655,0.561011082882286,0.384718547912992,0.52469386100073,0.99953869450545,0.0332985683132644,0.0449255310490763,0.0116083866128514,0.0158628496529536,0.0286047960137029,0.999740431662146,0,0.000101617754654093,0.0795397419426912,0.0151042569167677,0.0296188360215829,0.00224427866986977,3.68405540819334e-05,0.000331137369723587,0.193317238545305,0.000252716704574172,0.00264072272411397,0.00262078623587076
Bacillaceae,0,0.379286821705426,0,0.788810924469015,0,0.000440109851418914,0.000571259726189304,0,0.000119863834683799,0.234584373749118,0.124322487993947,0,0,0.0568357562635323,0.000543152532214564,0.000120086462252822,0.0010228703315149,0.995419176706827,0.679997789658364,0.0263350921609919,0.0177150543763252,0,0.785754686489981,0.00877265238879736,0,0.000410815655811174,0.559191355026712,0,0.534437138141521,0.00178817759158024,0,0,0,0,0,0,0,0,0,0,0,0,7.34861845972957e-05,0,0,0,0,0,0,4.67144191840548e-05,0,0,0,0,0,4.32812995931558e-05,0.118693893033253,0,0,6.42079309636326e-05,0,0,0
Enterobacteriaceae,0.71914871501702,0.176103359173127,0.946659458485381,0.211118198785645,0.829788397397343,0.842159002887121,0.0027972027972028,0.949762098675468,0.00237330392673922,0.689476392886415,0.864821878040118,0.00848555070883315,0.252110945546755,0.718469687596659,0.616908900209769,0.831638779921543,0.000262274443978179,0.00010458500669344,0.319200961498612,0.754063838345598,0.583502428125214,0.103061592694368,0.0820943762120233,0.325288303130148,0.590789914641118,0.64154466686585,0.0282904322486644,0.285628791943539,0.0322758114799193,0.93613651458642,0.966889859842252,0.988856949064953,0.994583604682561,1,0.620370004348342,0.432400451799129,0.000131792821684312,0.387712770507228,0.915441754000135,0.997869696431742,0.998722044728434,0.438804816083066,0.614620076425632,0.475184494363799,0.000120340563795541,0.956063335545653,0.955074468950924,0.988177304711219,0.983764782984301,0.951292432264092,0.000220633087176026,0.999968177189409,0.999776440939761,0.920460258057309,0.984895743083232,0.970251320079638,0.0859779997471235,0.999705275567345,0.648645822440657,0.0619606533799055,0.879345824759017,0.84412786657401,0.62036610983295
Enterococcaceae,9.09492503183224e-05,0.0378087855297158,0.0531828625489931,0,0.169992891902236,0.15740088726146,0.996493647197872,0.0233471930501379,0.995205446612648,0,0.000787535323275529,0.936358369683751,0,0.040422981750696,0.381986065328139,0.168241133616204,0.997560847671003,0,0,0.21960106949341,0.39723216524931,0,0.117283451842275,0.5999176276771,0.121493484731997,0.357652375261428,0.41224502185527,0.713731478806389,0.433129862984989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08223177357878e-05,5.01419015814756e-05,0,0,5.3577168982391e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcaligenaceae,0,0,0,0,0,0,0,0,0.00129452941458503,0.0759392333644664,0.00863200481786315,0,5.22834810341673e-05,0.0981673368388494,0.000561881929877135,0,0.00104909777591272,0,0,0,0,0,0.0147058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevibacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343038821954485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcaceae,0,0,0,0,0,0,0,0,0.000671237474229276,0,0,0,0,0,0,0,0,0.000627510040160643,0,0,0,0,0,0,0.00137993573442151,0,0,0,0,0.00395953609564196,0.00668160926062532,0.00335906462969542,0.0014454310084661,0,0.0011661461833419,0,0,0.000299375588059191,0.000852763627387177,0.00168649032487129,0.00115015974440895,0.000184101034647815,0.000587889476778366,6.08223177357878e-05,0.000260737888223673,0.0106380961410828,0,0.000160731506947173,0.000327683279215943,0.0199314855185301,0,0,0.000121941305584912,0,0,8.65625991863116e-05,0.793083828549753,0.000184202770409667,0.35102304018962,0.744580850626669,0.0850752734755767,0.153231410701876,0.377013103931179
Rhizobiaceae,0.000142920250500221,4.1343669250646e-05,4.50511330359959e-05,7.0876745339854e-05,0,0,5.90958337437211e-05,0.000114306942717933,0,0,0,0.000119274809160305,0,0,0,0,0.000104909777591272,0.00010458500669344,0,0,0.00013679578668977,0,4.04007756948933e-05,0,0,5.60203167015238e-05,0,0.000165091419373478,0,0,0,4.8448047543684e-05,0,0,0,0,0,6.41519117269695e-05,0,0,0,0,0,0,0,0,0,0,4.46840835294468e-05,0,3.89352506781223e-05,3.18228105906314e-05,0,0,0,0,0,0,0,7.70495171563592e-05,0,0,0
Xanthobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8397893344885e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
