Query Name,Query Length,Query Start,Query End,Subject DB,NCBI Accession,Gene / Organism,GenBank Link,Subject Length,Subject Start,Subject End,Bit Score,Raw Score,E-value,Identities Match,Identities Total,Identity (%),Strand
E230525-016_G15_5_27F,1636,20,1002,,MW857175.1,"Pseudomonas aeruginosa strain AFS/SRLAAH/2019 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MW857175?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1003,2,980,1269,687,0.0,887,985,90,Plus/Plus
E230525-016_I15_6_27F,1253,13,807,,MN244524.1,"Enterococcus faecalis strain CP27 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MN244524?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1197,14,799,878,475,0.0,692,797,87,Plus/Plus
E230525-016_K15_9_27F,1214,2,653,,MK072997.1,"Bacterium strain QLN201710IPB4 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MK072997?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1451,2,655,752,407,0.0,575,657,88,Plus/Plus
E230525-016_M15_10_27F,1271,13,650,,MN307370.1,"Pseudomonas poae strain 15-H4 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MN307370?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1421,1,635,987,534,0.0,604,638,95,Plus/Plus
E230525-016_O15_11_27F,1230,18,651,,KJ865603.1,"Stenotrophomonas maltophilia strain MCt-1 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/KJ865603?report=genbank&log$=nuclalign&blast_rank=1&RID=0,734,1,632,372,201,8e-98,496,640,78,Plus/Plus
E230525-016_A17_12_27F,1529,2,1247,céfuro,LC628031.1,"Pseudomonas aeruginosa PSE5 gene for 16S ribosomal RNA, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/LC628031?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1312,2,1251,1984,1074,0.0,1203,1261,95,Plus/Plus
E230525-016_C17_13_27F,1119,15,1033,céfuro,MT872006.1,"Enterobacter cloacae strain FS2 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MT872006?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1005,14,1005,366,198,3e-96,773,1042,74,Plus/Plus
E230525-016_E17_14_27F,1644,7,1253,céfuro,MZ964588.1,"Atlantibacter hermannii strain ANSNAS7 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MZ964588?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1434,1,1254,2021,1094,0.0,1210,1262,96,Plus/Plus
E230525-016_G17_15_27F,1600,7,1159,céfuro,MT113101.1,"Pseudomonas aeruginosa strain KI5.3 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MT113101?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1319,6,1169,1496,810,0.0,1052,1168,90,Plus/Plus
E230525-016_I17_16_27F,1595,22,1181,,MH916560.1,"Klebsiella sp. strain AKB01 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MH916560?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1408,1,1163,1951,1056,0.0,1133,1168,97,Plus/Plus
E230525-016_K17_17_27F,1233,19,1118,,MT509879.1,"Klebsiella oxytoca strain G1-2-12 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MT509879?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1442,16,1099,1546,837,0.0,1023,1108,92,Plus/Plus
E230525-016_M17_18_27F,1606,6,1125,,LN998087.1,"Citrobacter freundii partial 16S rRNA gene, strain mammoth-8",https://www.ncbi.nlm.nih.gov/nucleotide/LN998087?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1344,24,1149,1930,1045,0.0,1102,1128,98,Plus/Plus
E230525-016_O17_22_27F,1252,8,1136,,MT150684.1,"Raoultella sp. strain YL01 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MT150684?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1463,19,1148,1742,943,0.0,1083,1145,95,Plus/Plus
E230525-016_A19_23_27F,1245,2,1222,,MZ389269.1,"Klebsiella pneumoniae strain 1 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/MZ389269?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1443,2,1222,1674,906,0.0,1134,1239,92,Plus/Plus
E230525-016_C19_35_27F,1552,4,1207,,KX881771.1,"Enterococcus faecium strain Unkn666 16S ribosomal RNA gene, partial sequence",https://www.ncbi.nlm.nih.gov/nucleotide/KX881771?report=genbank&log$=nuclalign&blast_rank=1&RID=0,1283,1,1215,2028,1098,0.0,1179,1216,97,Plus/Plus
